Survived,Pclass,Name,Sex,Ticket,Embarked,Cabin
1,3,"O'Dwyer, Miss. Ellen ""Nellie""",female,330959,Q,
0,3,"Todoroff, Mr. Lalio",male,349216,S,
0,1,"Uruchurtu, Don. Manuel E",male,PC 17601,C,
1,1,"Spencer, Mrs. William Augustus (Marie Eugenie)",female,PC 17569,C,B78
1,3,"Glynn, Miss. Mary Agatha",female,335677,Q,
0,2,"Wheadon, Mr. Edward H",male,C.A. 24579,S,
0,1,"Meyer, Mr. Edgar Joseph",male,PC 17604,C,
0,1,"Holverson, Mr. Alexander Oskar",male,113789,S,
1,3,"Mamee, Mr. Hanna",male,2677,C,
0,3,"Cann, Mr. Ernest Charles",male,A./5. 2152,S,
0,3,"Vander Planke, Miss. Augusta Maria",female,345764,S,
1,3,"Nicola-Yarred, Miss. Jamila",female,2651,C,
0,3,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",female,7546,S,
0,2,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",female,11668,S,
0,3,"Kraeff, Mr. Theodor",male,349253,C,
1,2,"Laroche, Miss. Simonne Marie Anne Andree",female,SC/Paris 2123,C,
1,3,"Devaney, Miss. Margaret Delia",female,330958,Q,
0,3,"Rogers, Mr. William John",male,S.C./A.4. 23567,S,
0,3,"Lennon, Mr. Denis",male,370371,Q,
1,3,"O'Driscoll, Miss. Bridget",female,14311,Q,
0,3,"Samaan, Mr. Youssef",male,2662,C,
0,3,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",female,349237,S,
0,3,"Panula, Master. Juha Niilo",male,3101295,S,
0,3,"Nosworthy, Mr. Richard Cater",male,A/4. 39886,S,
1,1,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",female,PC 17572,C,D33
1,2,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",female,2926,S,
0,1,"Ostby, Mr. Engelhart Cornelius",male,113509,C,B30
1,1,"Woolner, Mr. Hugh",male,19947,S,C52
1,2,"Rugg, Miss. Emily",female,C.A. 31026,S,
0,3,"Novel, Mr. Mansouer",male,2697,C,
1,2,"West, Miss. Constance Mirium",female,C.A. 34651,S,
0,3,"Goodwin, Master. William Frederick",male,CA 2144,S,
0,3,"Sirayanian, Mr. Orsen",male,2669,C,
1,1,"Icard, Miss. Amelie",female,113572,S,B28
0,1,"Harris, Mr. Henry Birkhardt",male,36973,S,C83
0,3,"Skoog, Master. Harald",male,347088,S,
0,1,"Stewart, Mr. Albert A",male,PC 17605,C,
1,3,"Moubarek, Master. Gerios",male,2661,C,
1,2,"Nye, Mrs. (Elizabeth Ramell)",female,C.A. 29395,S,F33
0,3,"Crease, Mr. Ernest James",male,S.P. 3464,S,
1,3,"Andersson, Miss. Erna Alexandra",female,3101281,S,
0,3,"Kink, Mr. Vincenz",male,315151,S,
0,2,"Jenkin, Mr. Stephen Curnow",male,C.A. 33111,S,
0,3,"Goodwin, Miss. Lillian Amy",female,CA 2144,S,
0,2,"Hood, Mr. Ambrose Jr",male,S.O.C. 14879,S,
0,3,"Chronopoulos, Mr. Apostolos",male,2680,C,
1,3,"Bing, Mr. Lee",male,1601,S,
0,3,"Moen, Mr. Sigurd Hansen",male,348123,S,F G73
0,3,"Staneff, Mr. Ivan",male,349208,S,
0,3,"Moutal, Mr. Rahamin Haim",male,374746,S,
1,2,"Caldwell, Master. Alden Gates",male,248738,S,
1,3,"Dowdell, Miss. Elizabeth",female,364516,S,
0,3,"Waelens, Mr. Achille",male,345767,S,
1,3,"Sheerlinck, Mr. Jan Baptist",male,345779,S,
1,3,"McDermott, Miss. Brigdet Delia",female,330932,Q,
0,1,"Carrau, Mr. Francisco M",male,113059,S,
1,2,"Ilett, Miss. Bertha",female,SO/C 14885,S,
1,3,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",female,3101278,S,
0,3,"Ford, Mr. William Neal",male,W./C. 6608,S,
0,3,"Slocovski, Mr. Selman Francis",male,SOTON/OQ 392086,S,
1,1,"Fortune, Miss. Mabel Helen",female,19950,S,C23 C25 C27
0,3,"Celotti, Mr. Francesco",male,343275,S,
0,3,"Christmann, Mr. Emil",male,343276,S,
0,3,"Andreasson, Mr. Paul Edvin",male,347466,S,
0,1,"Chaffee, Mr. Herbert Fuller",male,W.E.P. 5734,S,E31
0,3,"Dean, Mr. Bertram Frank",male,C.A. 2315,S,
0,3,"Coxon, Mr. Daniel",male,364500,S,
0,3,"Shorney, Mr. Charles Joseph",male,374910,S,
0,1,"Goldschmidt, Mr. George B",male,PC 17754,C,A5
1,1,"Greenfield, Mr. William Bertram",male,PC 17759,C,D10 D12
1,2,"Doling, Mrs. John T (Ada Julia Bone)",female,231919,S,
0,2,"Kantor, Mr. Sinai",male,244367,S,
0,3,"Petranec, Miss. Matilda",female,349245,S,
0,3,"Petroff, Mr. Pastcho (""Pentcho"")",male,349215,S,
0,1,"White, Mr. Richard Frasar",male,35281,S,D26
0,3,"Johansson, Mr. Gustaf Joel",male,7540,S,
0,3,"Gustafsson, Mr. Anders Vilhelm",male,3101276,S,
0,3,"Mionoff, Mr. Stoytcho",male,349207,S,
1,3,"Salkjelsvik, Miss. Anna Kristine",female,343120,S,
1,3,"Moss, Mr. Albert Johan",male,312991,S,
0,3,"Rekic, Mr. Tido",male,349249,S,
1,3,"Moran, Miss. Bertha",female,371110,Q,
0,1,"Porter, Mr. Walter Chamberlain",male,110465,S,C110
0,3,"Zabour, Miss. Hileni",female,2665,C,
0,3,"Barton, Mr. David John",male,324669,S,
0,3,"Jussila, Miss. Katriina",female,4136,S,
0,3,"Attalah, Miss. Malake",female,2627,C,
0,3,"Pekoniemi, Mr. Edvard",male,STON/O 2. 3101294,S,
0,3,"Connors, Mr. Patrick",male,370369,Q,
0,2,"Turpin, Mr. William John Robert",male,11668,S,
0,1,"Baxter, Mr. Quigg Edmond",male,PC 17558,C,B58 B60
0,3,"Andersson, Miss. Ellis Anna Maria",female,347082,S,
0,2,"Hickman, Mr. Stanley George",male,S.O.C. 14879,S,
0,3,"Moore, Mr. Leonard Charles",male,A4. 54510,S,
0,2,"Nasser, Mr. Nicholas",male,237736,C,
1,2,"Webber, Miss. Susan",female,27267,S,E101
0,1,"White, Mr. Percival Wayland",male,35281,S,D26
1,3,"Nicola-Yarred, Master. Elias",male,2651,C,
0,3,"McMahon, Mr. Martin",male,370372,Q,
1,3,"Madsen, Mr. Fridtjof Arne",male,C 17369,S,
1,3,"Peter, Miss. Anna",female,2668,C,F E69
0,3,"Ekstrom, Mr. Johan",male,347061,S,
0,3,"Drazenoic, Mr. Jozef",male,349241,C,
0,3,"Coelho, Mr. Domingos Fernandeo",male,SOTON/O.Q. 3101307,S,
0,3,"Robins, Mrs. Alexander A (Grace Charity Laury)",female,A/5. 3337,S,
1,2,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",female,228414,S,
0,2,"Sobey, Mr. Samuel James Hayden",male,C.A. 29178,S,
0,2,"Richard, Mr. Emile",male,SC/PARIS 2133,C,
1,1,"Newsom, Miss. Helen Monypeny",female,11752,S,D47
0,1,"Futrelle, Mr. Jacques Heath",male,113803,S,C123
0,3,"Osen, Mr. Olaf Elon",male,7534,S,
0,1,"Giglio, Mr. Victor",male,PC 17593,C,B86
0,3,"Boulos, Mrs. Joseph (Sultana)",female,2678,C,
1,3,"Nysten, Miss. Anna Sofia",female,347081,S,
1,3,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",female,STON/O2. 3101279,S,
0,3,"Burke, Mr. Jeremiah",male,365222,Q,
0,2,"Andrew, Mr. Edgardo Samuel",male,231945,S,
0,2,"Nicholls, Mr. Joseph Charles",male,C.A. 33112,S,
1,3,"Andersson, Mr. August Edvard (""Wennerstrom"")",male,350043,S,
0,3,"Ford, Miss. Robina Maggie ""Ruby""",female,W./C. 6608,S,
0,2,"Navratil, Mr. Michel (""Louis M Hoffman"")",male,230080,S,F2
0,2,"Byles, Rev. Thomas Roussel Davids",male,244310,S,
0,2,"Bateman, Rev. Robert James",male,S.O.P. 1166,S,
1,1,"Pears, Mrs. Thomas (Edith Wearne)",female,113776,S,C2
0,3,"Meo, Mr. Alfonzo",male,A.5. 11206,S,
0,3,"van Billiard, Mr. Austin Blyler",male,A/5. 851,S,
0,3,"Olsen, Mr. Ole Martin",male,Fa 265302,S,
0,1,"Williams, Mr. Charles Duane",male,PC 17597,C,
1,3,"Gilnagh, Miss. Katherine ""Katie""",female,35851,Q,
0,3,"Corn, Mr. Harry",male,SOTON/OQ 392090,S,
0,3,"Smiljanic, Mr. Mile",male,315037,S,
0,3,"Sage, Master. Thomas Henry",male,CA. 2343,S,
0,3,"Cribb, Mr. John Hatfield",male,371362,S,
1,2,"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",female,C.A. 33595,S,
0,3,"Bengtsson, Mr. John Viktor",male,347068,S,
0,3,"Calic, Mr. Jovo",male,315093,S,
0,3,"Panula, Master. Eino Viljami",male,3101295,S,
1,3,"Goldsmith, Master. Frank John William ""Frankie""",male,363291,S,
1,1,"Chibnall, Mrs. (Edith Martha Bowerman)",female,113505,S,E33
0,3,"Skoog, Mrs. William (Anna Bernhardina Karlsson)",female,347088,S,
0,1,"Baumann, Mr. John D",male,PC 17318,S,
0,3,"Ling, Mr. Lee",male,1601,S,
0,1,"Van der hoef, Mr. Wyckoff",male,111240,S,B19
0,3,"Rice, Master. Arthur",male,382652,Q,
1,3,"Johnson, Miss. Eleanor Ileen",female,347742,S,
0,3,"Sivola, Mr. Antti Wilhelm",male,STON/O 2. 3101280,S,
0,1,"Smith, Mr. James Clinch",male,17764,C,A7
0,3,"Klasen, Mr. Klas Albin",male,350404,S,
0,3,"Lefebre, Master. Henry Forbes",male,4133,S,
0,1,"Isham, Miss. Ann Elizabeth",female,PC 17595,C,C49
0,2,"Hale, Mr. Reginald",male,250653,S,
0,3,"Leonard, Mr. Lionel",male,LINE,S,
0,3,"Sage, Miss. Constance Gladys",female,CA. 2343,S,
0,2,"Pernot, Mr. Rene",male,SC/PARIS 2131,C,
0,3,"Asplund, Master. Clarence Gustaf Hugo",male,347077,S,
1,2,"Becker, Master. Richard F",male,230136,S,F4
1,3,"Kink-Heilmann, Miss. Luise Gretchen",female,315153,S,
0,1,"Rood, Mr. Hugh Roscoe",male,113767,S,A32
1,3,"O'Brien, Mrs. Thomas (Johanna ""Hannah"" Godfrey)",female,370365,Q,
1,1,"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")",male,111428,S,
0,3,"Bourke, Mr. John",male,364849,Q,
0,3,"Turcin, Mr. Stjepan",male,349247,S,
1,2,"Pinsky, Mrs. (Rosa)",female,234604,S,
0,2,"Carbines, Mr. William",male,28424,S,
1,3,"Andersen-Jensen, Miss. Carla Christine Nielsine",female,350046,S,
1,2,"Navratil, Master. Michel M",male,230080,S,F2
1,1,"Brown, Mrs. James Joseph (Margaret Tobin)",female,PC 17610,C,B4
1,1,"Lurette, Miss. Elise",female,PC 17569,C,B80
0,3,"Mernagh, Mr. Robert",male,368703,Q,
0,3,"Olsen, Mr. Karl Siegwart Andreas",male,4579,S,
1,3,"Madigan, Miss. Margaret ""Maggie""",female,370370,Q,
0,2,"Yrois, Miss. Henriette (""Mrs Harbeck"")",female,248747,S,
0,3,"Vande Walle, Mr. Nestor Cyriel",male,345770,S,
0,3,"Sage, Mr. Frederick",male,CA. 2343,S,
0,3,"Johanson, Mr. Jakob Alfred",male,3101264,S,
0,3,"Youseff, Mr. Gerious",male,2628,C,
1,3,"Cohen, Mr. Gurshon ""Gus""",male,A/5 3540,S,
0,3,"Strom, Miss. Telma Matilda",female,347054,S,G6
0,3,"Backstrom, Mr. Karl Alfred",male,3101278,S,
1,3,"Albimona, Mr. Nassef Cassem",male,2699,C,
1,3,"Carr, Miss. Helen ""Ellen""",female,367231,Q,
1,1,"Blank, Mr. Henry",male,112277,C,A31
0,3,"Ali, Mr. Ahmed",male,SOTON/O.Q. 3101311,S,
1,2,"Cameron, Miss. Clear Annie",female,F.C.C. 13528,S,
0,3,"Perkin, Mr. John Henry",male,A/5 21174,S,
0,2,"Givard, Mr. Hans Kristensen",male,250646,S,
0,3,"Kiernan, Mr. Philip",male,367229,Q,
1,1,"Newell, Miss. Madeleine",female,35273,C,D36
1,3,"Honkanen, Miss. Eliina",female,STON/O2. 3101283,S,
0,2,"Jacobsohn, Mr. Sidney Samuel",male,243847,S,
1,1,"Bazzani, Miss. Albina",female,11813,C,D15
0,2,"Harris, Mr. Walter",male,W/C 14208,S,
1,3,"Sunderland, Mr. Victor Francis",male,SOTON/OQ 392089,S,
0,2,"Bracken, Mr. James H",male,220367,S,
0,3,"Green, Mr. George Henry",male,21440,S,
0,3,"Nenkoff, Mr. Christo",male,349234,S,
1,1,"Hoyt, Mr. Frederick Maxfield",male,19943,S,C93
0,3,"Berglund, Mr. Karl Ivar Sven",male,PP 4348,S,
1,2,"Mellors, Mr. William John",male,SW/PP 751,S,
0,3,"Lovell, Mr. John Hall (""Henry"")",male,A/5 21173,S,
0,2,"Fahlstrom, Mr. Arne Jonas",male,236171,S,
0,3,"Lefebre, Miss. Mathilde",female,4133,S,
1,1,"Harris, Mrs. Henry Birkhardt (Irene Wallach)",female,36973,S,C83
0,3,"Larsson, Mr. Bengt Edvin",male,347067,S,
0,2,"Sjostedt, Mr. Ernst Adolf",male,237442,S,
1,3,"Asplund, Miss. Lillian Gertrud",female,347077,S,
0,2,"Leyson, Mr. Robert William Norman",male,C.A. 29566,S,
0,3,"Harknett, Miss. Alice Phoebe",female,W./C. 6609,S,
0,2,"Hold, Mr. Stephen",male,26707,S,
1,2,"Collyer, Miss. Marjorie ""Lottie""",female,C.A. 31921,S,
0,2,"Pengelly, Mr. Frederick William",male,28665,S,
0,2,"Hunt, Mr. George Henry",male,SCO/W 1585,S,
0,3,"Zabour, Miss. Thamine",female,2665,C,
1,3,"Murphy, Miss. Katherine ""Kate""",female,367230,Q,
0,2,"Coleridge, Mr. Reginald Charles",male,W./C. 14263,S,
0,3,"Maenpaa, Mr. Matti Alexanteri",male,STON/O 2. 3101275,S,
0,3,"Attalah, Mr. Sleiman",male,2694,C,
0,1,"Minahan, Dr. William Edward",male,19928,Q,C78
0,3,"Lindahl, Miss. Agda Thorilda Viktoria",female,347071,S,
1,2,"Hamalainen, Mrs. William (Anna)",female,250649,S,
1,1,"Beckwith, Mr. Richard Leonard",male,11751,S,D35
0,2,"Carter, Rev. Ernest Courtenay",male,244252,S,
0,3,"Reed, Mr. James George",male,362316,S,
0,3,"Strom, Mrs. Wilhelm (Elna Matilda Persson)",female,347054,S,G6
0,1,"Stead, Mr. William Thomas",male,113514,S,C87
0,3,"Lobb, Mr. William Arthur",male,A/5. 3336,S,
0,3,"Rosblom, Mrs. Viktor (Helena Wilhelmina)",female,370129,S,
1,3,"Touma, Mrs. Darwis (Hanne Youssef Razi)",female,2650,C,
1,1,"Thorne, Mrs. Gertrude Maybelle",female,PC 17585,C,
1,1,"Cherry, Miss. Gladys",female,110152,S,B77
1,1,"Ward, Miss. Anna",female,PC 17755,C,
1,2,"Parrish, Mrs. (Lutie Davis)",female,230433,S,
0,3,"Smith, Mr. Thomas",male,384461,Q,
1,3,"Asplund, Master. Edvin Rojj Felix",male,347077,S,
0,1,"Taussig, Mr. Emil",male,110413,S,E67
0,1,"Harrison, Mr. William",male,112059,S,B94
0,3,"Henry, Miss. Delia",female,382649,Q,
0,2,"Reeves, Mr. David",male,C.A. 17248,S,
0,3,"Panula, Mr. Ernesti Arvid",male,3101295,S,
1,3,"Persson, Mr. Ernst Ulrik",male,347083,S,
1,1,"Graham, Mrs. William Thompson (Edith Junkins)",female,PC 17582,S,C125
1,1,"Bissette, Miss. Amelia",female,PC 17760,S,C99
0,1,"Cairns, Mr. Alexander",male,113798,S,
1,3,"Tornquist, Mr. William Henry",male,LINE,S,
1,2,"Mellinger, Mrs. (Elizabeth Anne Maidment)",female,250644,S,
0,1,"Natsch, Mr. Charles H",male,PC 17596,C,C118
1,3,"Healy, Miss. Hanora ""Nora""",female,370375,Q,
1,1,"Andrews, Miss. Kornelia Theodosia",female,13502,S,D7
0,3,"Lindblom, Miss. Augusta Charlotta",female,347073,S,
0,2,"Parkes, Mr. Francis ""Frank""",male,239853,S,
0,3,"Rice, Master. Eric",male,382652,Q,
1,3,"Abbott, Mrs. Stanton (Rosa Hunt)",female,C.A. 2673,S,
0,3,"Duane, Mr. Frank",male,336439,Q,
0,3,"Olsson, Mr. Nils Johan Goransson",male,347464,S,
0,3,"de Pelsmaeker, Mr. Alfons",male,345778,S,
1,3,"Dorking, Mr. Edward Arthur",male,A/5. 10482,S,
0,1,"Smith, Mr. Richard William",male,113056,S,A19
0,3,"Stankovic, Mr. Ivan",male,349239,C,
1,3,"de Mulder, Mr. Theodore",male,345774,S,
0,3,"Naidenoff, Mr. Penko",male,349206,S,
1,2,"Hosono, Mr. Masabumi",male,237798,S,
1,3,"Connolly, Miss. Kate",female,370373,Q,
1,1,"Barber, Miss. Ellen ""Nellie""",female,19877,S,
1,1,"Bishop, Mrs. Dickinson H (Helen Walton)",female,11967,C,B49
0,2,"Levy, Mr. Rene Jacques",male,SC/Paris 2163,C,D
0,3,"Haas, Miss. Aloisia",female,349236,S,
0,3,"Mineff, Mr. Ivan",male,349233,S,
0,1,"Lewy, Mr. Ervin G",male,PC 17612,C,
0,3,"Hanna, Mr. Mansour",male,2693,C,
0,1,"Allison, Miss. Helen Loraine",female,113781,S,C22 C26
1,1,"Saalfeld, Mr. Adolphe",male,19988,S,C106
1,1,"Baxter, Mrs. James (Helene DeLaudeniere Chaput)",female,PC 17558,C,B58 B60
1,3,"Kelly, Miss. Anna Katherine ""Annie Kate""",female,9234,Q,
1,3,"McCoy, Mr. Bernard",male,367226,Q,
0,3,"Johnson, Mr. William Cahoone Jr",male,LINE,S,
1,2,"Keane, Miss. Nora A",female,226593,Q,E101
0,3,"Williams, Mr. Howard Hugh ""Harry""",male,A/5 2466,S,
1,1,"Allison, Master. Hudson Trevor",male,113781,S,C22 C26
1,1,"Fleming, Miss. Margaret",female,17421,C,
1,1,"Penasco y Castellana, Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo)",female,PC 17758,C,C65
0,2,"Abelson, Mr. Samuel",male,P/PP 3381,C,
1,1,"Francatelli, Miss. Laura Mabel",female,PC 17485,C,E36
1,1,"Hays, Miss. Margaret Bechstein",female,11767,C,C54
1,1,"Ryerson, Miss. Emily Borie",female,PC 17608,C,B57 B59 B63 B66
0,2,"Lahtinen, Mrs. William (Anna Sylfven)",female,250651,S,
0,3,"Hendekovic, Mr. Ignjac",male,349243,S,
0,2,"Hart, Mr. Benjamin",male,F.C.C. 13529,S,
1,3,"Nilsson, Miss. Helmina Josefina",female,347470,S,
1,2,"Kantor, Mrs. Sinai (Miriam Sternin)",female,244367,S,
0,2,"Moraweck, Dr. Ernest",male,29011,S,
1,1,"Wick, Miss. Mary Natalie",female,36928,S,C7
1,1,"Spedden, Mrs. Frederic Oakley (Margaretta Corning Stone)",female,16966,C,E34
0,3,"Dennis, Mr. Samuel",male,A/5 21172,S,
0,3,"Danoff, Mr. Yoto",male,349219,S,
1,2,"Slayter, Miss. Hilda Mary",female,234818,Q,
1,2,"Caldwell, Mrs. Albert Francis (Sylvia Mae Harbaugh)",female,248738,S,
0,3,"Sage, Mr. George John Jr",male,CA. 2343,S,
1,1,"Young, Miss. Marie Grice",female,PC 17760,C,C32
0,3,"Nysveen, Mr. Johan Hansen",male,345364,S,
1,2,"Ball, Mrs. (Ada E Hall)",female,28551,S,D
1,3,"Goldsmith, Mrs. Frank John (Emily Alice Brown)",female,363291,S,
1,1,"Hippach, Miss. Jean Gertrude",female,111361,C,B18
1,3,"McCoy, Miss. Agnes",female,367226,Q,
0,1,"Partner, Mr. Austen",male,113043,S,C124
0,1,"Graham, Mr. George Edward",male,PC 17582,S,C91
0,3,"Vander Planke, Mr. Leo Edmondus",male,345764,S,
1,1,"Frauenthal, Mrs. Henry William (Clara Heinsheimer)",female,PC 17611,S,
0,3,"Denkoff, Mr. Mitto",male,349225,S,
0,1,"Pears, Mr. Thomas Clinton",male,113776,S,C2
1,1,"Burns, Miss. Elizabeth Margaret",female,16966,C,E40
1,3,"Dahl, Mr. Karl Edwart",male,7598,S,
0,1,"Blackwell, Mr. Stephen Weart",male,113784,S,T
1,2,"Navratil, Master. Edmond Roger",male,230080,S,F2
1,1,"Fortune, Miss. Alice Elizabeth",female,19950,S,C23 C25 C27
0,2,"Collander, Mr. Erik Gustaf",male,248740,S,
0,2,"Sedgwick, Mr. Charles Frederick Waddington",male,244361,S,
0,2,"Fox, Mr. Stanley Hubert",male,229236,S,
1,2,"Brown, Miss. Amelia ""Mildred""",female,248733,S,F33
1,2,"Smith, Miss. Marion Elsie",female,31418,S,
1,3,"Davison, Mrs. Thomas Henry (Mary E Finck)",female,386525,S,
1,3,"Coutts, Master. William Loch ""William""",male,C.A. 37671,S,
0,3,"Dimic, Mr. Jovan",male,315088,S,
0,3,"Odahl, Mr. Nils Martin",male,7267,S,
0,1,"Williams-Lambert, Mr. Fletcher Fellows",male,113510,S,C128
0,3,"Elias, Mr. Tannous",male,2695,C,
0,3,"Arnold-Franchi, Mr. Josef",male,349237,S,
0,3,"Yousif, Mr. Wazli",male,2647,C,
0,3,"Vanden Steen, Mr. Leo Peter",male,345783,S,
1,1,"Bowerman, Miss. Elsie Edith",female,113505,S,E33
0,2,"Funk, Miss. Annie Clemmer",female,237671,S,
1,3,"McGovern, Miss. Mary",female,330931,Q,
1,3,"Mockler, Miss. Helen Mary ""Ellie""",female,330980,Q,
0,3,"Skoog, Mr. Wilhelm",male,347088,S,
0,2,"del Carlo, Mr. Sebastiano",male,SC/PARIS 2167,C,
0,3,"Barbara, Mrs. (Catherine David)",female,2691,C,
0,3,"Asim, Mr. Adola",male,SOTON/O.Q. 3101310,S,
0,3,"O'Brien, Mr. Thomas",male,370365,Q,
0,3,"Adahl, Mr. Mauritz Nils Martin",male,C 7076,S,
1,1,"Warren, Mrs. Frank Manley (Anna Sophia Atkinson)",female,110813,C,D37
1,3,"Moussa, Mrs. (Mantoura Boulos)",female,2626,C,
1,3,"Jermyn, Miss. Annie",female,14313,Q,
1,1,"Aubart, Mme. Leontine Pauline",female,PC 17477,C,B35
1,1,"Harder, Mr. George Achilles",male,11765,C,E50
0,3,"Wiklund, Mr. Jakob Alfred",male,3101267,S,
0,3,"Beavan, Mr. William Thomas",male,323951,S,
0,1,"Ringhini, Mr. Sante",male,PC 17760,C,
0,3,"Palsson, Miss. Stina Viola",female,349909,S,
1,1,"Meyer, Mrs. Edgar Joseph (Leila Saks)",female,PC 17604,C,
1,3,"Landergren, Miss. Aurora Adelia",female,C 7077,S,
0,1,"Widener, Mr. Harry Elkins",male,113503,C,C82
0,3,"Betros, Mr. Tannous",male,2648,C,
0,3,"Gustafsson, Mr. Karl Gideon",male,347069,S,
1,1,"Bidois, Miss. Rosalie",female,PC 17757,C,
1,3,"Nakid, Miss. Maria (""Mary"")",female,2653,C,
0,3,"Tikkanen, Mr. Juho",male,STON/O 2. 3101293,S,
1,1,"Holverson, Mrs. Alexander Oskar (Mary Aline Towner)",female,113789,S,
0,3,"Plotcharsky, Mr. Vasil",male,349227,S,
0,2,"Davies, Mr. Charles Henry",male,S.O.C. 14879,S,
0,3,"Goodwin, Master. Sidney Leonard",male,CA 2144,S,
1,2,"Buss, Miss. Kate",female,27849,S,
0,3,"Sadlier, Mr. Matthew",male,367655,Q,
1,2,"Lehmann, Miss. Bertha",female,SC 1748,C,
1,1,"Carter, Mr. William Ernest",male,113760,S,B96 B98
1,3,"Jansson, Mr. Carl Olof",male,350034,S,
0,3,"Gustafsson, Mr. Johan Birger",male,3101277,S,
1,1,"Newell, Miss. Marjorie",female,35273,C,D36
1,3,"Sandstrom, Mrs. Hjalmar (Agnes Charlotta Bengtsson)",female,PP 9549,S,G6
0,3,"Johansson, Mr. Erik",male,350052,S,
0,3,"Olsson, Miss. Elina",female,350407,S,
0,2,"McKane, Mr. Peter David",male,28403,S,
0,2,"Pain, Dr. Alfred",male,244278,S,
1,2,"Trout, Mrs. William H (Jessie L)",female,240929,S,
1,3,"Niskanen, Mr. Juha",male,STON/O 2. 3101289,S,
0,3,"Adams, Mr. John",male,341826,S,
0,3,"Jussila, Miss. Mari Aina",female,4137,S,
0,3,"Hakkarainen, Mr. Pekka Pietari",male,STON/O2. 3101279,S,
0,3,"Oreskovic, Miss. Marija",female,315096,S,
0,2,"Gale, Mr. Shadrach",male,28664,S,
0,3,"Widegren, Mr. Carl/Charles Peter",male,347064,S,
1,2,"Richards, Master. William Rowe",male,29106,S,
0,3,"Birkeland, Mr. Hans Martin Monsen",male,312992,S,
0,3,"Lefebre, Miss. Ida",female,4133,S,
0,3,"Sdycoff, Mr. Todor",male,349222,S,
0,3,"Hart, Mr. Henry",male,394140,Q,
1,1,"Minahan, Miss. Daisy E",female,19928,Q,C78
0,2,"Cunningham, Mr. Alfred Fleming",male,239853,S,
1,3,"Sundman, Mr. Johan Julian",male,STON/O 2. 3101269,S,
0,3,"Meek, Mrs. Thomas (Annie Louise Rowley)",female,343095,S,
1,2,"Drew, Mrs. James Vivian (Lulu Thorne Christian)",female,28220,S,
1,2,"Silven, Miss. Lyyli Karoliina",female,250652,S,
0,2,"Matthews, Mr. William John",male,28228,S,
0,3,"Van Impe, Miss. Catharina",female,345773,S,
0,3,"Gheorgheff, Mr. Stanio",male,349254,C,
0,3,"Charters, Mr. David",male,A/5. 13032,Q,
0,3,"Zimmerman, Mr. Leo",male,315082,S,
0,3,"Danbom, Mrs. Ernst Gilbert (Anna Sigrid Maria Brogren)",female,347080,S,
